track_id,track_name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
7duDJSfX3dpiIqi0TDCzKF,home sweet home,Type2 diabetes,pylat,2022-04-21,216746,1,0.701,0.459,0.698,0.0,0.0433,-6.666,0.0282,109.956,4
3JaMGQXJmtbAhvgl0nBPPN,Mr.Mr.,Mr. Mr. - The 4th Mini Album,Girls' Generation,2014-02-24,235434,55,0.701,0.114,0.964,9.34e-06,0.153,-2.037,0.127,113.058,4
3atsk5EWI5fNxLMIJnfYfJ,The Red Shoes,Modern Times,IU,2013-10-08,254249,45,0.636,0.512,0.922,0.0,0.0898,-2.131,0.211,118.065,4
7IS4NciwYPs1wMywOKx69z,SEE U LATER - Japanese Version,BLACKPINK IN YOUR AREA (Japanese Version),BLACKPINK,2018-12-05,199933,50,0.774,0.0322,0.907,0.0,0.508,-3.799,0.114,107.005,4
5NbmRFtL4YLYv045u4bSNS,Any,IN LIFE,Stray Kids,2020-09-14,169140,0,0.879,0.0309,0.868,0.0,0.107,-3.113,0.0632,110.054,4
2G0wbwTsTN0HJeQp3BDc4D,Put It Straight,I made,(G)I-DLE,2019-02-26,236668,42,0.557,0.698,0.358,1.32e-05,0.293,-6.436,0.0397,140.903,4
1RVsbqAP1WFFXPiBXQYIah,GOT THE THRILLS,READY TO BE,TWICE,2023-03-10,173760,52,0.712,0.21,0.924,0.0,0.202,-1.549,0.121,122.037,4
0gXnPSw0oZxoJdbNulAG3b,Overflow,The 4th Mini Album 'VERSUS',VIVIZ,2023-11-02,189773,40,0.623,0.469,0.611,0.0,0.153,-5.515,0.117,155.902,4
5UDDTTQ5cUrH3FYubQ34Y9,BAZOOKA!,the Keys,GWSN,2020-04-28,195302,39,0.739,0.0288,0.746,0.0,0.21,-6.146,0.0476,129.944,4
7cHXwaBnIBFUPuP376z07E,Flip That,Summer Special [Flip That],LOONA,2022-06-20,177373,47,0.803,0.072,0.831,0.0,0.328,-3.649,0.0569,112.045,4
0lML1OdwDWQIyGF3i9vk2y,Love In Space,Cherry Wish,Cherry Bullet,2022-03-02,216973,41,0.662,0.0523,0.942,7.2e-05,0.0937,-2.557,0.0816,155.998,4
2gcnRgVUNNsvrG8ovhLqyo,Here We Are,回:LABYRINTH,GFRIEND,2020-02-03,207013,35,0.491,0.0474,0.763,0.0,0.168,-4.16,0.0571,163.953,4
4eYHnUeE6mVXKg6S7kOatk,My 808,Born to be XX,KISS OF LIFE,2023-11-08,159480,51,0.667,0.0322,0.801,3.24e-05,0.0724,-3.753,0.062,97.024,4
6bUdUyr92odwXgROPXQT5s,Dear you,Dear OHMYGIRL,OH MY GIRL,2021-05-10,216720,24,0.755,0.677,0.643,0.0,0.133,-3.405,0.0406,100.056,4
06PapYCtVDlprJPgGELabn,Attack on Bangtan,"O!RUL8,2?",BTS,2013-09-11,246525,59,0.72,0.2,0.962,0.0,0.165,-2.555,0.268,118.025,4
1Zv6zo71iDXH07Lin7hxMg,Don't Know You,"/// (You, Clouds, Rain)",HEIZE,2017-06-26,189410,49,0.699,0.213,0.562,0.0,0.42,-5.573,0.253,104.995,4
381g0b6QZxC13SzA2HRMIc,Power Up,Summer Magic - Summer Mini Album,Red Velvet,2018-08-06,202040,55,0.732,0.0774,0.934,0.00745,0.306,-4.618,0.144,159.998,4
5W1MGvhp0nDigx1vfYTaO8,Do It Like That (Pop R&B Remix),Do It Like That (Pop R&B Remix),TOMORROW X TOGETHER,2023-07-28,154947,41,0.751,0.045,0.872,0.0,0.102,-3.276,0.0515,115.015,4
2nChvM2Tyv1ib8AvfCJcOe,We Young,We Young - The 1st Mini Album,NCT DREAM,2017-08-17,224466,49,0.712,0.0579,0.857,0.0,0.0684,-4.194,0.0414,123.041,4
5KyHqQND52Lo6Dv11HX7Rm,Double Down,EMBERS,EASTSHINE,2023-11-16,182621,20,0.598,0.0447,0.915,0.0,0.0996,-3.008,0.348,205.922,4
6s9ygHPj98H7LptAk3SCqo,What′s Love? (Feat. Rakon),What′s Love?,ZENE THE ZILLA,2023-09-26,200146,15,0.849,0.024,0.499,0.0,0.119,-7.225,0.0907,107.01,4
66t3n50Ycj91XnLvrsomHt,Kok Kok,Pink UP,Apink,2017-06-26,209040,21,0.776,0.151,0.831,0.0,0.159,-3.664,0.0491,119.97,4
1OKyhe7ZmUjQ1OmzulU6FO,I Will Forget You,Bluetory,CNBLUE,2010-01-14,286066,32,0.448,0.515,0.624,5.41e-06,0.436,-8.239,0.0377,171.992,4
3DMvqQG9wibjtjmrUAvNBn,Let me Love (Prod. by Jin Young),HELLO WORLD : CODE J EP.1,UNICODE,2024-04-17,179293,35,0.693,0.06,0.843,0.0,0.248,-3.761,0.0336,109.95,4
0gywTkbwB3xsPs6GesUQWH,DIAMOND,DIAMOND,해시태그,2023-06-09,209445,5,0.659,0.0818,0.889,0.0,0.103,-2.647,0.0579,101.452,4
3ldLaJODjBgbUKKssJleqS,Tear drops (feat. Whee In),Tear drops,DINDIN,2019-03-09,215203,28,0.423,0.282,0.646,0.0,0.347,-6.216,0.0811,84.074,4
4keuUM29CtIWgsPRzRhXoW,WOKE UP,WOKE UP,XG,2024-05-21,188010,76,0.884,0.0222,0.633,0.0,0.0765,-5.826,0.291,146.904,4
